Zp,LR,VpVs,MR,Den,Facies
7626.69921875,28.59345818,1.98335755,14.79161263,2.53318834,0.0
7659.55566406,28.78515053,1.98153055,14.9450798,2.53670716,0.0
7692.59619141,28.97760201,1.97968256,15.09955025,2.54025245,0.0
7675.59472656,28.72132683,1.97543299,15.09789944,2.5361836,0.0
7655.22021484,28.434021,1.97099721,15.08611774,2.53159928,0.0
7634.98193359,28.14709473,1.96654177,15.07518482,2.52703309,0.0
7614.88037109,27.8605442,1.96206653,15.06509972,2.52248549,0.0
7658.99853516,25.40301514,1.87862766,16.6290226,2.53536773,0.0
7654.14794922,25.64085579,1.88647711,16.47314262,2.53641009,0.0
7649.56445312,25.87976456,1.89430213,16.31877708,2.53748965,0.0
7645.24902344,26.11973953,1.90210295,16.16592407,2.53860641,0.0
7640.93652344,26.37524223,1.91035056,16.00533485,2.53982687,0.0
7634.09082031,26.43596268,1.91355491,15.9229784,2.53495097,0.0
7613.81982422,25.5578537,1.89270747,16.20834541,2.50068831,0.0
7593.45361328,24.67851639,1.87185585,16.49357986,2.46641254,1.0
7573.00439453,23.79807281,1.85100079,16.77871704,2.43212819,0.0
7552.53320312,22.91908073,1.83020258,17.06294441,2.3979353899999998,1.0
7531.97998047,22.0389843,1.80940092,17.34707642,2.36373448,1.0
7498.84423828,21.59200668,1.80249536,17.32364273,2.34305263,0.0
7453.14941406,21.57963371,1.80950999,16.99208069,2.33589172,1.0
7407.40283203,21.5681324,1.81655324,16.65966797,2.32872391,1.0
7359.11035156,21.55696297,1.82401085,16.30824089,2.32115889,0.0
7310.76367188,21.54669189,1.83149815,15.95593452,2.31358695,0.0
7262.36279297,21.53731918,1.83901501,15.60274982,2.30600786,0.0
7286.67529297,21.53006744,1.83472311,15.78482819,2.30848265,0.0
7312.16699219,21.52464485,1.83028734,15.97470284,2.31112885,0.0
7337.29638672,21.52106667,1.82596016,16.16100311,2.31373835,0.0
7362.20361328,21.51928902,1.82171702,16.34477806,2.31632543,0.0
7386.89941406,21.51919746,1.81755304,16.52616119,2.31889105,0.0
7380.88671875,21.68562508,1.82419038,16.39963531,2.33122277,1.0
7352.41796875,21.97190857,1.83868372,16.04889488,2.35074902,0.0
7325.56152344,22.24250984,1.85239112,15.71775055,2.36936212,0.0
7299.22607422,22.50832939,1.86586666,15.39279938,2.38781404,0.0
7273.41210938,22.76936531,1.87911022,15.07403946,2.40610504,0.0
7248.11914062,23.02562141,1.89212191,14.76147079,2.42423511,0.0
7270.82568359,23.3570385,1.89727557,14.76143837,2.43693852,0.0
7291.51708984,23.66913223,1.90226638,14.75633812,2.4489975,1.0
7311.43505859,23.98125458,1.90741193,14.74555302,2.46116257,1.0
7330.57861328,24.29340363,1.9127121,14.72908497,2.47343326,1.0
7348.94873047,24.60557747,1.91816676,14.70693302,2.4858098,1.0
7366.57666016,24.80048752,1.9205898,14.73813248,2.49561357,0.0
7384.97753906,23.77989769,1.88992763,15.38436222,2.47783542,1.0
7404.01318359,22.76843834,1.85940051,16.03072929,2.46026301,1.0
7423.67236328,21.76594734,1.8290062,16.67722321,2.44289279,1.0
7443.95166016,20.77236176,1.79874372,17.32385826,2.42572355,0.0
7464.85107422,19.78768921,1.76861322,17.97062874,2.40875578,0.0
7481.18261719,19.04534531,1.74568582,18.46247864,2.39473796,1.0
7482.51123047,18.98069191,1.7433126,18.50458336,2.38904595,1.0
7483.61621094,18.90500641,1.74069095,18.55053711,2.38317919,1.0
7484.49511719,18.81831932,1.73782206,18.60030746,2.37713718,1.0
7485.15087891,18.72068214,1.73470664,18.65388107,2.3709209,1.0
7485.57958984,18.61411858,1.73140848,18.71022606,2.36465931,1.0
7481.62597656,18.54307556,1.7298162,18.71628761,2.36022782,1.0
7474.27978516,18.51118469,1.7298466,18.67759895,2.35743618,0.0
7467.07910156,18.48341179,1.72995579,18.63793755,2.35466838,0.0
7460.02441406,18.45975494,1.73014367,18.5973053,2.35192394,1.0
7453.28222656,18.44054985,1.73040056,18.55677223,2.34926677,1.0
7446.6796875,18.42539597,1.7307353,18.51525497,2.34663248,1.0
7455.81152344,18.3744812,1.72855639,18.60916519,2.34576011,1.0
7472.23242188,18.30506134,1.72517049,18.7667923,2.34570003,1.0
7488.50732422,18.23527336,1.72179449,18.92351532,2.34562182,1.0
7504.72851562,18.16471863,1.71840918,19.08022118,2.34552455,1.0
7520.80175781,18.09379387,1.71503377,19.23601532,2.34540868,1.0
7536.72802734,18.02249336,1.71166825,19.39089584,2.34527469,1.0
7563.38085938,18.14928818,1.7115767,19.53043365,2.34735751,1.0
7593.79492188,18.34532166,1.71262693,19.6646843,2.350209,1.0
7624.55371094,18.54484367,1.71371675,19.79983139,2.35309553,1.0
7655.38964844,18.74611664,1.7148366,19.93469429,2.35599113,1.0
7686.30322266,18.94914818,1.71598649,20.0692749,2.35889578,1.0
7717.29443359,19.15391731,1.71716607,20.20358849,2.36181045,1.0
7694.02636719,20.35754585,1.75278616,19.42483139,2.38446641,0.0
7661.06347656,21.76337814,1.79520655,18.47107506,2.41109967,0.0
7627.98144531,23.16822052,1.83762491,17.51691437,2.43773079,0.0
7594.78125,24.57206535,1.88004112,16.56234741,2.46435952,0.0
7561.46191406,25.97491264,1.92245519,15.60737514,2.49098635,0.0
7532.40332031,27.15368652,1.95849705,14.79689884,2.51329303,0.0
7524.55273438,27.2463398,1.96358049,14.69103813,2.51456714,0.0
7516.85400391,27.34043312,1.96867621,14.58558941,2.51586604,0.0
7509.30664062,27.4359684,1.97378397,14.48055267,2.51719022,0.0
7501.91113281,27.53295135,1.97890413,14.37593079,2.51853943,0.0
7494.66601562,27.63129997,1.98403406,14.27175045,2.51991296,0.0
7512.59130859,27.8013916,1.98526716,14.32245541,2.52245164,0.0
7545.98779297,28.01653671,1.98413527,14.46790409,2.52572918,0.0
7579.36816406,28.2310791,1.98298609,14.61353779,2.52901006,0.0
7612.73144531,28.44502068,1.98181975,14.75935745,2.53229475,0.0
7646.078125,28.65836143,1.98063624,14.90536118,2.53558302,0.0
7679.40136719,28.87103653,1.97943497,15.05153179,2.5388732,0.0
7662.87988281,28.62500191,1.97538245,15.04861259,2.53446913,0.0
7642.92138672,28.34661484,1.97111094,15.03575993,2.52953434,0.0
7623.01025391,28.06790352,1.96681845,15.02341938,2.5246067,0.0
7603.14648438,27.78886795,1.96250498,15.01158905,2.5196867,0.0
7659.59179688,25.52682304,1.8821671,16.57183266,2.53720284,0.0
7647.82080078,25.73812103,1.89070094,16.37631416,2.53702188,0.0
7636.17382812,25.95079613,1.89924502,16.18104744,2.53688359,0.0
7624.65039062,26.16484833,1.9077996,15.98603058,2.53678823,0.0
7612.55029297,26.39337921,1.91688716,15.77936554,2.53672814,0.0
7599.53417969,26.435825350000002,1.92078352,15.65901184,2.530828,0.0
7581.54443359,25.57958603,1.89974916,15.95129967,2.49673557,0.0
7563.52587891,24.7220192,1.87869561,16.24401665,2.46261477,1.0
7545.48583984,23.86318588,1.85762286,16.53719521,2.42847157,0.0
7527.47802734,23.00557518,1.83659172,16.8299942,2.39440536,1.0
7509.44921875,22.14670563,1.81554163,17.12325096,2.36031651,1.0
7477.68457031,21.68869591,1.80793941,17.1164856,2.33966374,0.0
7432.19335938,21.6324749,1.81379247,16.80929184,2.33243847,1.0
7386.69287109,21.576231,1.81963623,16.50201416,2.3251791,1.0
7338.70507812,21.51727867,1.82579935,16.17772865,2.31749201,0.0
7290.70751953,21.45829391,1.83195257,15.85335541,2.30976939,0.0
7242.70068359,21.39927673,1.83809602,15.52889729,2.30201173,0.0
7274.24951172,21.33193207,1.83105183,15.79379082,2.30512428,0.0
7307.22607422,21.26484299,1.82379162,16.06907082,2.30844522,0.0
7339.91796875,21.19851685,1.81660831,16.34189796,2.31174636,0.0
7372.50585938,21.13261223,1.8094629,16.61375999,2.31504655,0.0
7404.63964844,21.07392311,1.80259645,16.87869644,2.31836247,0.0
7391.45361328,21.32424545,1.8130213,16.65791893,2.33464026,1.0
7345.03515625,21.7992878,1.83608067,16.08191109,2.36047292,0.0
7301.01171875,22.25054932,1.85798311,15.53526497,2.38511086,0.0
7257.60693359,22.69618416,1.87961078,14.99594879,2.40954924,0.0
7214.82080078,23.13619423,1.9009639,14.46396446,2.4337883,0.0
7172.65332031,23.57057762,1.92204237,13.93931103,2.45782804,0.0
7225.07177734,23.89125443,1.92100358,14.16249561,2.46649456,0.0
7273.71386719,24.19466782,1.92021406,14.36667252,2.47477794,1.0
7321.49414062,24.49971771,1.91964662,14.56371689,2.48320627,1.0
7368.41210938,24.80640411,1.91930151,14.75362873,2.49177933,1.0
7414.46875,25.11472511,1.91917849,14.936409,2.50049758,1.0
7455.11230469,25.27648926,1.9161303,15.15278053,2.50631309,0.0
7449.18847656,23.89841843,1.88025713,15.7976284,2.4805932,1.0
7443.95019531,22.52693176,1.84443939,16.44425201,2.45504045,1.0
7439.38330078,21.16181946,1.80867374,17.0926609,2.42965031,1.0
7435.484375,19.8029995,1.77295876,17.7428627,2.40442181,0.0
7432.25292969,18.45047569,1.73729467,18.39485741,2.37935472,0.0
7433.25097656,17.56055069,1.71305656,18.84708595,2.36118269,1.0
7444.00195312,17.9635067,1.72115207,18.72569275,2.36243248,1.0
7454.53417969,18.35767555,1.72905493,18.60706329,2.36355042,1.0
7464.84619141,18.74307442,1.73676574,18.49117279,2.36453557,1.0
7474.93945312,19.11977005,1.74428594,18.37800407,2.36538935,1.0
7484.62304688,19.48028946,1.75146592,18.26987267,2.36609888,1.0
7481.25976562,19.53253555,1.75298905,18.21873856,2.36419868,1.0
7467.27685547,19.33677483,1.74998319,18.21254921,2.36022472,0.0
7453.3984375,19.14446259,1.74704552,18.2054081,2.3562696,0.0
7439.62353516,18.95560074,1.74417615,18.19731712,2.35233331,1.0
7426.27636719,18.77438927,1.74143684,18.18858147,2.34850717,1.0
7413.02636719,18.59653473,1.73876429,18.17889023,2.34469914,1.0
7424.58056641,18.50325584,1.73527753,18.31202316,2.34402323,1.0
7447.78125,18.44892311,1.73139274,18.51260185,2.34481597,1.0
7470.88916016,18.39448357,1.72751832,18.71254921,2.34559655,1.0
7494.03710938,18.33963585,1.7236321,18.91300392,2.34636903,1.0
7517.09130859,18.28467751,1.71975625,19.11282349,2.34712934,1.0
7540.05224609,18.22960854,1.71589065,19.31200218,2.34787703,1.0
7565.36767578,18.2851696,1.71437013,19.47639084,2.34994221,1.0
7591.51806641,18.37942696,1.71366704,19.62867546,2.35246205,1.0
7617.91162109,18.47557831,1.71297979,19.7818718,2.35500717,1.0
7644.31835938,18.57277489,1.71231437,19.93465233,2.35755515,1.0
7670.73876953,18.67102242,1.71167088,20.08701324,2.36010551,1.0
7697.17382812,18.77032471,1.7110492,20.2389679,2.36265969,1.0
7681.02441406,20.03502464,1.74681699,19.48365211,2.38585567,0.0
7657.37451172,21.53194618,1.78971803,18.55506897,2.41319966,0.0
7633.66308594,23.0288105,1.83262944,17.62604713,2.44054675,0.0
7609.890625,24.5256176,1.87555099,16.69658852,2.46789742,0.0
7586.05615234,26.02235985,1.91848266,15.76669407,2.49525142,0.0
7563.04541016,27.26546097,1.95493305,14.97015762,2.51791859,0.0
7543.92041016,27.271698,1.95983183,14.82297611,2.51769948,0.0
7524.89404297,27.2789135,1.9647404,14.67603874,2.51749969,0.0
7505.96630859,27.2871151,1.96965873,14.52934837,2.5173192,0.0
7487.13769531,27.29630089,1.97458684,14.38290405,2.51715827,0.0
7468.41015625,27.306427,1.97952259,14.23674774,2.51701617,0.0
7483.00341797,27.46313095,1.98113108,14.26883125,2.51892757,0.0
7518.00390625,27.71038437,1.98072588,14.40970325,2.52211165,0.0
7553.01171875,27.95716476,1.98030198,14.55087471,2.52530217,0.0
7588.02636719,28.20347595,1.97985959,14.69234562,2.52849913,0.0
7623.04785156,28.44931412,1.97939837,14.83411503,2.53170252,0.0
7658.0703125,28.69462967,1.97891855,14.9761591,2.53491092,0.0
7641.75292969,28.46723557,1.97538841,14.96584415,2.53027654,0.0
7621.89404297,28.20655251,1.971627,14.94534683,2.52510118,0.0
7602.08300781,27.94559479,1.96784592,14.92534447,2.5199337,0.0
7582.32080078,27.68436432,1.96404541,14.90583801,2.51477385,0.0
7653.56738281,25.88736153,1.8938309,16.34627342,2.53650236,0.0
7637.27832031,26.04933548,1.9020133,16.14108086,2.53477263,0.0
7621.11767578,26.21268845,1.91020513,15.93617249,2.53308654,0.0
7605.08447266,26.37742424,1.91840661,15.7315464,2.53144407,0.0
7588.20898438,26.55368614,1.92711902,15.5147295,2.52974463,0.0
7571.37158203,26.56078911,1.93082404,15.38308334,2.52262974,0.0
7554.11328125,25.75028801,1.91048288,15.65847111,2.48935294,0.0
7536.82763672,24.93847084,1.89012253,15.93429661,2.45604825,1.0
7519.52246094,24.12539101,1.86974299,16.21059418,2.42272091,0.0
7502.24902344,23.31340218,1.8494029,16.48657417,2.38946819,1.0
7484.95654297,22.5001545,1.82904351,16.76302528,2.3561933,1.0
7453.74853516,22.06522179,1.8219471,16.74964142,2.3365643,0.0
7408.63134766,22.00952911,1.82812154,16.44598961,2.33057284,1.0
7363.50146484,21.95381737,1.83428717,16.14222908,2.32454729,1.0
7315.90136719,21.8954277,1.84079039,15.82161999,2.31816006,0.0
7268.28808594,21.83701134,1.84728444,15.50090122,2.3117373,0.0
7220.66259766,21.77856636,1.85376906,15.18007565,2.30527902,0.0
7256.02099609,21.69664383,1.84537148,15.47973537,2.30847168,0.0
7292.87304688,21.61466789,1.83672452,15.79039288,2.3118484,0.0
7329.41894531,21.53351784,1.82816148,16.09841156,2.31520486,0.0
7365.86132812,21.45276833,1.81963575,16.40547752,2.31855965,0.0
7402.20751953,21.37246513,1.81114697,16.71163368,2.32191443,0.0
7392.33691406,21.62791252,1.82133973,16.51223755,2.33855104,1.0
7347.85498047,22.13396645,1.84548366,15.93465328,2.36512733,0.0
7305.00634766,22.61971283,1.86867511,15.3791523,2.39067483,0.0
7262.09326172,23.1046772,1.89184189,14.82357407,2.41621184,0.0
7219.11474609,23.58885765,1.91498399,14.26791859,2.44173837,0.0
7176.07128906,24.07225418,1.93810141,13.71218681,2.4672544,0.0
7234.19970703,24.38301277,1.93526649,13.98355675,2.4757061,0.0
7288.93603516,24.6758461,1.93260968,14.23895168,2.48366928,1.0
7343.57519531,24.9688797,1.9299866,14.49350166,2.4916358,1.0
7398.11816406,25.26211548,1.92739749,14.7472086,2.49960566,1.0
7452.56494141,25.55555153,1.92484212,15.00007153,2.50757885,1.0
7500.32470703,25.68641472,1.9191817,15.28493786,2.51237679,0.0
7480.53662109,24.12262535,1.8806479,15.91951942,2.48411274,1.0
7461.06835938,22.56359291,1.84218836,16.55410576,2.45589995,1.0
7441.91357422,21.00908279,1.8037976,17.18876457,2.42773509,1.0
7423.0703125,19.45899773,1.76547348,17.82352829,2.39961648,0.0
7404.53857422,17.9133358,1.72721601,18.45839882,2.37154436,0.0
7397.30664062,16.99017906,1.7034328,18.86621475,2.35229778,1.0
7420.30566406,17.79926872,1.72016859,18.63314819,2.35805321,1.0
7442.95166016,18.59721184,1.73666835,18.40301514,2.36369014,1.0
7465.24414062,19.38407326,1.7529335,18.17578888,2.36920929,1.0
7487.18701172,20.15994263,1.76896596,17.95144653,2.37461185,1.0
7508.34375,20.90921593,1.78444242,17.73453903,2.3797884,1.0
7504.91748047,20.97636986,1.78630686,17.67542076,2.37838936,1.0
7481.51855469,20.49088669,1.77716136,17.74372864,2.37167048,0.0
7458.40722656,20.01435089,1.76820803,17.80970955,2.36503983,0.0
7435.58251953,19.54676056,1.7594465,17.87336349,2.35849738,1.0
7413.57080078,19.09864998,1.75107265,17.93334007,2.35219169,1.0
7391.83251953,18.65916634,1.74288416,17.99105263,2.34597182,1.0
7403.05419922,18.51276779,1.73803461,18.147991179999998,2.34474492,1.0
7429.73583984,18.50121689,1.73468709,18.35279846,2.34585309,1.0
7456.33056641,18.48805428,1.73131311,18.55777359,2.34695554,1.0
7482.99072266,18.47319603,1.72789311,18.76409531,2.34805894,1.0
7509.56347656,18.45672035,1.72444654,18.97058487,2.34915662,1.0
7536.04882812,18.43863297,1.72097349,19.17723656,2.35024881,1.0
7566.28759766,18.545084,1.71996856,19.35395432,2.35278201,1.0
7597.6015625,18.69140625,1.71977341,19.52017021,2.35578632,1.0
7628.93359375,18.83560371,1.71953273,19.68756104,2.35879207,1.0
7660.00683594,18.97633934,1.71924758,19.85466957,2.3617723,1.0
7690.8203125,19.11361504,1.71891773,20.02149582,2.36472726,1.0
7721.38818359,19.24763107,1.71854627,20.1880455,2.36765838,1.0
7699.40234375,20.40215492,1.75247991,19.44287109,2.38992119,0.0
7668.59033203,21.76836395,1.79323339,18.52445602,2.41613626,0.0
7638.19384766,23.14091682,1.83407891,17.60605431,2.44240308,0.0
7608.21191406,24.51981354,1.87501633,16.68766594,2.46872115,0.0
7578.64453125,25.90504837,1.91604555,15.76929283,2.49509096,0.0
7551.88476562,27.06398582,1.95093405,14.98579693,2.51698399,0.0
7536.47998047,27.09011841,1.95556211,14.85680103,2.51678491,0.0
7520.7421875,27.11387062,1.96019208,14.72648716,2.51655865,0.0
7504.67138672,27.13524628,1.96482396,14.59485626,2.51630545,0.0
7488.26855469,27.15424728,1.96945786,14.4619112,2.5160253,0.0
7471.54394531,27.17088318,1.97409129,14.32772923,2.51571846,0.0
7484.71777344,27.335186,1.97631395,14.34524822,2.51720023,0.0
7516.50830078,27.59259987,1.97707427,14.45663643,2.51981831,0.0
7548.46191406,27.85001564,1.97779417,14.56925201,2.5224576,0.0
7580.57958984,28.1074295,1.97847366,14.68309498,2.52511835,0.0
7612.86035156,28.36484528,1.97911286,14.79816532,2.52780032,0.0
7645.30419922,28.62229538,1.97971296,14.91444206,2.53050256,0.0
7626.12255859,28.40472221,1.97717798,14.87782764,2.52551317,0.0
7603.39941406,28.15369606,1.97439826,14.83115768,2.51998973,0.0
7580.75292969,27.90241623,1.97159064,14.78518581,2.51447082,0.0
7558.18212891,27.65087891,1.96875501,14.73991203,2.50895691,0.0
7637.61328125,26.16915703,1.90583932,16.08436966,2.52569532,0.0
7621.59033203,26.273326869999998,1.91222262,15.91012955,2.52359319,0.0
7605.32763672,26.37897301,1.9187144,15.73334122,2.52149057,0.0
7588.82568359,26.48608971,1.92531431,15.55400944,2.51938725,0.0
7571.10009766,26.6010437,1.93241704,15.36144924,2.51712942,0.0
7552.37988281,26.57412148,1.93548799,15.23283386,2.51009965,0.0
7530.51953125,25.8572979,1.91852999,15.42785263,2.48002839,0.0
7509.53320312,25.134655,1.90121102,15.63222599,2.4496367,1.0
7489.41357422,24.40633583,1.88353682,15.84583282,2.41893578,0.0
7470.21972656,23.67445755,1.86555851,16.06805038,2.38801599,1.0
7451.890625,22.93692017,1.84722602,16.29947472,2.35678816,1.0
7422.85644531,22.53251839,1.84052265,16.28734779,2.33825135,0.0
7381.77050781,22.46948242,1.8459785,16.01767159,2.33273745,1.0
7339.75439453,22.41176224,1.85178709,15.73854256,2.32735753,1.0
7294.4453125,22.35686874,1.85830104,15.43388844,2.32184553,0.0
7248.17285156,22.30747032,1.86517978,15.11945248,2.31647205,0.0
7200.93701172,22.26356697,1.87242329,14.79523468,2.31123734,0.0
7239.34667969,22.15581894,1.86244607,15.12984848,2.31414413,0.0
7279.67529297,22.04560471,1.85204911,15.47973442,2.31720448,0.0
7320.26855469,21.93243599,1.84151316,15.83301258,2.32024646,0.0
7361.12353516,21.81654549,1.83085322,16.18955803,2.32329059,0.0
7401.88232422,21.70126534,1.82023549,16.5451107,2.32633996,0.0
7394.32714844,21.95621109,1.83019936,16.36266899,2.34289789,1.0
7350.59082031,22.48745728,1.85553396,15.77781773,2.36956358,0.0
7308.46289062,22.99741745,1.87986994,15.21534824,2.39519858,0.0
7266.27099609,23.50656128,1.90418053,14.65282822,2.42082405,0.0
7224.01611328,24.01489258,1.9284656,14.09025764,2.44644046,0.0
7181.69775391,24.52240753,1.95272529,13.52763462,2.47204733,0.0
7245.13183594,24.85397148,1.94911468,13.82874393,2.48051906,0.0
7304.86181641,25.16621971,1.94572163,14.11221504,2.48849845,1.0
7364.48339844,25.47845459,1.9423579,14.3948679,2.49647784,1.0
7423.99755859,25.7906723,1.93902349,14.67670155,2.50445771,1.0
7483.40332031,26.10287476,1.93571854,14.95771599,2.51243806,1.0
7534.72705078,26.23699188,1.92914474,15.26803493,2.51710153,0.0
7504.12109375,24.51663971,1.88801026,15.90025997,2.48725319,1.0
7473.83691406,22.801054,1.84695041,16.53250122,2.45745587,1.0
7443.8671875,21.08997917,1.80595958,17.16482735,2.42770624,1.0
7414.20849609,19.38331032,1.76503527,17.79727173,2.39800262,0.0
7384.86181641,17.68104362,1.72417736,18.42983246,2.36834502,0.0
7372.59472656,16.72765541,1.70025778,18.81527519,2.34892011,1.0
7406.59472656,17.85256195,1.7235775,18.5064373,2.35834002,1.0
7440.26269531,18.96730042,1.7466836,18.20020485,2.36765146,1.0
7473.59814453,20.07190323,1.76957703,17.89656448,2.37685466,1.0
7506.60449219,21.1664238,1.79225874,17.59550285,2.3859508,1.0
7538.625,22.22894478,1.81427372,17.30308723,2.39475727,1.0
7535.72558594,22.31023216,1.81639576,17.2407589,2.39393187,1.0
7504.23925781,21.58896637,1.80225694,17.366436,2.38523316,0.0
7473.00976562,20.8751812,1.78827667,17.49028778,2.37660646,0.0
7442.03613281,20.16887093,1.77445495,17.61231804,2.36805224,1.0
7412.03564453,19.48618889,1.76110637,17.72979927,2.35976601,1.0
7382.27978516,18.81072998,1.74791133,17.84549332,2.35155034,1.0
7391.84423828,18.59755135,1.74150836,18.02321053,2.34948611,1.0
7419.90917969,18.60038948,1.7382654,18.23085594,2.35031509,1.0
7447.90527344,18.60227394,1.73500979,18.43847847,2.35114384,1.0
7475.99414062,18.60321808,1.73172271,18.6472683,2.35197711,1.0
7504.01416016,18.60320854,1.72842312,18.85603142,2.35281038,1.0
7531.96582031,18.60224724,1.72511077,19.06476784,2.35364342,1.0
7569.48925781,18.80872726,1.72541356,19.24769402,2.35667849,1.0
7610.09130859,19.08367729,1.72692192,19.4215107,2.36044502,1.0
7650.81542969,19.35812759,1.72840762,19.59649849,2.36422157,1.0
7691.30322266,19.62960815,1.72985685,19.77113342,2.36797476,1.0
7731.55371094,19.89812279,1.73126936,19.9454174,2.3717041,1.0
